lemma_de,article,gender,plural,meaning_ja,review_status,notes
Abend,,,,,needs_enrichment,
Abfahrt,,,,,needs_enrichment,
Abitur,,,,,needs_enrichment,
Abschied,,,,,needs_enrichment,
Absender,,,,,needs_enrichment,
Absicht,,,,,needs_enrichment,
Achtung,,,,,needs_enrichment,
Adresse,,,,,needs_enrichment,
Affe,,,,,needs_enrichment,
Ahnung,,,,,needs_enrichment,
Alkohol,,,,,needs_enrichment,
Allee,,,,,needs_enrichment,
Alte,,,,,needs_enrichment,
Alter,,,,,needs_enrichment,
Ampel,,,,,needs_enrichment,
Anfang,,,,,needs_enrichment,
Angabe,,,,,needs_enrichment,
Angebot,,,,,needs_enrichment,
Angestellte,,,,,needs_enrichment,
Angst,,,,,needs_enrichment,
Ankunft,,,,,needs_enrichment,
Anmeldung,,,,,needs_enrichment,
Anruf,,,,,needs_enrichment,
Antwort,,,,,needs_enrichment,
Anwalt,,,,,needs_enrichment,
Anzeige,,,,,needs_enrichment,
Anzug,,,,,needs_enrichment,
Apfel,,,,,needs_enrichment,
Apotheke,,,,,needs_enrichment,
Apparat,,,,,needs_enrichment,
Appetit,,,,,needs_enrichment,
Arbeit,,,,,needs_enrichment,
Arbeiter,,,,,needs_enrichment,
Arbeitsplatz,,,,,needs_enrichment,
Arzt,,,,,needs_enrichment,
Astronaut,,,,,needs_enrichment,
Atem,,,,,needs_enrichment,
Atmosphäre,,,,,needs_enrichment,
Atom,,,,,needs_enrichment,
Aufenthalt,,,,,needs_enrichment,
Aufgabe,,,,,needs_enrichment,
Aufsatz,,,,,needs_enrichment,
Auge,,,,,needs_enrichment,
Augenblick,,,,,needs_enrichment,
Ausdruck,,,,,needs_enrichment,
Ausflug,,,,,needs_enrichment,
Ausgang,,,,,needs_enrichment,
Auskunft,,,,,needs_enrichment,
Ausland,,,,,needs_enrichment,
Ausländer,,,,,needs_enrichment,
Aussage,,,,,needs_enrichment,
Aussprache,,,,,needs_enrichment,
Ausweis,,,,,needs_enrichment,
Auto,,,,,needs_enrichment,
Autobahn,,,,,needs_enrichment,
Automat,,,,,needs_enrichment,
Autor,,,,,needs_enrichment,
Baby,,,,,needs_enrichment,
Bach,,,,,needs_enrichment,
Bäcker,,,,,needs_enrichment,
Bäckerei,,,,,needs_enrichment,
Bad,,,,,needs_enrichment,
Bahn,,,,,needs_enrichment,
Bahnhof,,,,,needs_enrichment,
Bahnsteig,,,,,needs_enrichment,
Balkon,,,,,needs_enrichment,
Band,,,,,needs_enrichment,
Bank,,,,,needs_enrichment,
Bauch,,,,,needs_enrichment,
Bauer,,,,,needs_enrichment,
Baum,,,,,needs_enrichment,
Beamte,,,,,needs_enrichment,
Bedeutung,,,,,needs_enrichment,
Bedienung,,,,,needs_enrichment,
Bedingung,,,,,needs_enrichment,
Begriff,,,,,needs_enrichment,
Bein,,,,,needs_enrichment,
Beispiel,,,,,needs_enrichment,
Bekannte,,,,,needs_enrichment,
Benzin,,,,,needs_enrichment,
Berg,,,,,needs_enrichment,
Beruf,,,,,needs_enrichment,
Besuch,,,,,needs_enrichment,
Bett,,,,,needs_enrichment,
Bewegung,,,,,needs_enrichment,
Beziehung,,,,,needs_enrichment,
Bibel,,,,,needs_enrichment,
Bibliothek,,,,,needs_enrichment,
Bier,,,,,needs_enrichment,
Bild,,,,,needs_enrichment,
Biologie,,,,,needs_enrichment,
Birne,,,,,needs_enrichment,
Bitte,,,,,needs_enrichment,
Blatt,,,,,needs_enrichment,
Bleistift,,,,,needs_enrichment,
Blick,,,,,needs_enrichment,
Blitz,,,,,needs_enrichment,
Blume,,,,,needs_enrichment,
Bluse,,,,,needs_enrichment,
Blut,,,,,needs_enrichment,
Boden,,,,,needs_enrichment,
Bonbon,,,,,needs_enrichment,
Boot,,,,,needs_enrichment,
Braut,,,,,needs_enrichment,
Breite,,,,,needs_enrichment,
Brief,,,,,needs_enrichment,
Briefmarke,,,,,needs_enrichment,
Brille,,,,,needs_enrichment,
Brot,,,,,needs_enrichment,
Brötchen,,,,,needs_enrichment,
Brücke,,,,,needs_enrichment,
Bruder,,,,,needs_enrichment,
Brunnen,,,,,needs_enrichment,
Brust,,,,,needs_enrichment,
Buch,,,,,needs_enrichment,
Buchhandlung,,,,,needs_enrichment,
Buchstabe,,,,,needs_enrichment,
Burg,,,,,needs_enrichment,
Bürger,,,,,needs_enrichment,
Büro,,,,,needs_enrichment,
Bus,,,,,needs_enrichment,
Butter,,,,,needs_enrichment,
Café,,,,,needs_enrichment,
Cent,,,,,needs_enrichment,
Chance,,,,,needs_enrichment,
Charakter,,,,,needs_enrichment,
Chef,,,,,needs_enrichment,
Chemie,,,,,needs_enrichment,
Christ,,,,,needs_enrichment,
Christentum,,,,,needs_enrichment,
Computer,,,,,needs_enrichment,
Dach,,,,,needs_enrichment,
Dame,,,,,needs_enrichment,
Dank,,,,,needs_enrichment,
Datum,,,,,needs_enrichment,
Decke,,,,,needs_enrichment,
Demokratie,,,,,needs_enrichment,
Dichter,,,,,needs_enrichment,
Dieb,,,,,needs_enrichment,
Ding,,,,,needs_enrichment,
Doktor,,,,,needs_enrichment,
Donner,,,,,needs_enrichment,
Doppelzimmer,,,,,needs_enrichment,
Dorf,,,,,needs_enrichment,
Durst,,,,,needs_enrichment,
Dusche,,,,,needs_enrichment,
Dutzend,,,,,needs_enrichment,
E-Mail,,,,,needs_enrichment,
Ecke,,,,,needs_enrichment,
Ehe,,,,,needs_enrichment,
Ehre,,,,,needs_enrichment,
Eingang,,,,,needs_enrichment,
Einladung,,,,,needs_enrichment,
Einzelzimmer,,,,,needs_enrichment,
Eis,,,,,needs_enrichment,
Eisen,,,,,needs_enrichment,
Eisenbahn,,,,,needs_enrichment,
Element,,,,,needs_enrichment,
Eltern,,,,,needs_enrichment,
Empfänger,,,,,needs_enrichment,
Ende,,,,,needs_enrichment,
Enkel,,,,,needs_enrichment,
Entschuldigung,,,,,needs_enrichment,
Erdbeben,,,,,needs_enrichment,
Erde,,,,,needs_enrichment,
Erdgeschoss,,,,,needs_enrichment,
Erfahrung,,,,,needs_enrichment,
Erfolg,,,,,needs_enrichment,
Erinnerung,,,,,needs_enrichment,
Erkältung,,,,,needs_enrichment,
Erlaubnis,,,,,needs_enrichment,
Ernte,,,,,needs_enrichment,
Erwachsene,,,,,needs_enrichment,
Erzählung,,,,,needs_enrichment,
Erziehung,,,,,needs_enrichment,
Essig,,,,,needs_enrichment,
Esszimmer,,,,,needs_enrichment,
Euro,,,,,needs_enrichment,
Europa,,,,,needs_enrichment,
Europäer,,,,,needs_enrichment,
Examen,,,,,needs_enrichment,
Export,,,,,needs_enrichment,
Fabrik,,,,,needs_enrichment,
Fach,,,,,needs_enrichment,
Fahrer,,,,,needs_enrichment,
Fahrkarte,,,,,needs_enrichment,
Fahrrad,,,,,needs_enrichment,
Fahrt,,,,,needs_enrichment,
Fall,,,,,needs_enrichment,
Familie,,,,,needs_enrichment,
Familienname,,,,,needs_enrichment,
Farbe,,,,,needs_enrichment,
Fehler,,,,,needs_enrichment,
Feier,,,,,needs_enrichment,
Feiertag,,,,,needs_enrichment,
Feld,,,,,needs_enrichment,
Fenster,,,,,needs_enrichment,
Ferien,,,,,needs_enrichment,
Fernseher,,,,,needs_enrichment,
Feuer,,,,,needs_enrichment,
Fieber,,,,,needs_enrichment,
Film,,,,,needs_enrichment,
Finger,,,,,needs_enrichment,
Firma,,,,,needs_enrichment,
Fisch,,,,,needs_enrichment,
Flasche,,,,,needs_enrichment,
Fleisch,,,,,needs_enrichment,
Flug,,,,,needs_enrichment,
