word,pos,meaning,altMeanings,rawMeaning,confidence,source,sources,rawSeparators
decade,noun,10年間,,10年間 / 10年,0.2,,"teppeki,target1900,systan,leap,passtan1",1
"for one thing ～ (, for another ...)",phrase,1つには,,（理由などを挙げて）1つには～（，また1つには...）,0.2,,sokujuku,1
"one ～, another ...",phrase,1つは,,1つは～，（もう）1つは...,0.2,,sokujuku,1
predominantly,adverb,主に,,主に / 主として,0.2,,"systan,eiken1",1
～ and so on 〔forth〕,phrase,など,,～など,0.2,,sokujuku,0
A is to B what C is to D,phrase,の関係はCとDの関係に等しい,,AとBの関係はCとDの関係に等しい,0.2,,sokujuku,0
a sheet of ～,phrase,1枚の,,1枚の～,0.2,,sokujuku,0
be S ～ (or ...),phrase,Sが であろうと,,Sが～であろうと（...であろうと）,0.2,,sokujuku,0
circumstances,noun,状況,,状況,0.2,,systan,0
episode,noun,1回分,,（テレビの連続物などの）1回分,0.2,,eiken1,0
If only ...,phrase,...でありさえすればよい〔よかった」のに,,...でありさえすればよい〔よかった」のに,0.2,,sokujuku,0
in general,phrase,一般に,,一般に,0.2,,sokujuku,0
in particular,phrase,特に,,特に,0.2,,sokujuku,0
it is ～ for O to do,phrase,Oが...するのは,,Oが...するのは～,0.2,,sokujuku,0
on ～,phrase,～に,,～に（特定の日の朝・晩などに用いる）,0.2,,sokujuku,0
pick up ～,phrase,取り上げる を受け取る を 迎えに行く,,～を取り上げる ～（預けてあるもの）を受け取る ～を（乗り物で）迎えに行く,0.2,,sokujuku,0
quadruple,verb,4倍になる,,4倍になる,0.2,,eiken1,0
so that S will 〔can；may〕 ...,phrase,Sが...するために,,Sが...するために,0.2,,sokujuku,0
to the point of ～,phrase,～ まで,,～（程度・段階などが）まで,0.2,,sokujuku,0
until,other,～まで,,～まで（ずっと) ～まで（ずっと）,0.2,,leap,0
up to ～,phrase,～まで,,～まで,0.2,,sokujuku,0
watch＋O＋...ing,phrase,Oが...しているのを見る,,Oが...しているのを見る（知覚動詞）,0.2,,sokujuku,0
What is S like?,phrase,Sはどのようなものか。,,Sはどのようなものか。,0.2,,sokujuku,0
X times as ～ as ...,phrase,...のX倍,,...のX倍～,0.2,,sokujuku,0
shift,noun,変化,移行 / シフト / 交代勤務期間,変化、移行 / シフト、交代勤務期間 / 移る、変わる / を変える，移す / 変わる / 移動する / ～を変える / （考え方の）転換 （勤務の）交替,0.35029999999999994,,"teppeki,target1900,systan,leap,passtan1",11
annual,adjective,毎年の,例年の / 年に１度の / １年間の,"毎年の, 年に1回の / 年1回の，例年の / 1年間の / 年に１度の、１年間の / 年に1度の 1年間の（予算，収入など）",0.35029999999999994,,"teppeki,target1900,systan,leap",8
lot,noun,大量のもの,区画 / 用地 / 分け前,大量のもの / 区画、用地 / 分け前、宿命 / （a ― of ～）多くの～ （副詞的に）（a ―）とても （one's）（～の）状況，運命 （何らかの目的を持つ）土地,0.35029999999999994,,"teppeki,leap",6
mark,verb,印す,印をつける / 示す / 汚れをつける,成績 / 印、指標 / ～を印す / に印をつける / を（記号で）示す / に汚れをつける,0.35029999999999994,,"teppeki,target1900",6
crack,verb,ひびが入る,ひびを入れる / 割れる / 砕ける,ひびが入る / にひびを入れる / 割れる，砕ける （パンと）音を出す ～を割る，砕く 割れ目 / 割れ目,0.35029999999999994,,"target1900,leap,eiken1",5
