id	word	answerJa	family	pos	unit	order
account	account	説明	account	noun	core	1
adjustment	adjustment	調整	adjust	noun	core	2
accountable	accountable	責任ある	account	adjective	core	3
administer	administer	管理する	administer	verb	core	4
abandon	abandon	放棄する	abandon	verb	core	5
accumulate	accumulate	蓄積する	accumulate	verb	core	6
administration	administration	行政	administration	noun	core	7
abandonment	abandonment	放棄	abandon	noun	core	8
accumulation	accumulation	蓄積	accumulate	noun	core	9
administrative	administrative	管理的な	administrative	adjective	core	10
abide	abide	とどまる	abide	verb	core	11
accuracy	accuracy	精度	accuracy	noun	core	12
administrator	administrator	管理者	administrator	noun	core	13
abolish	abolish	廃止する	abolish	verb	core	14
accurate	accurate	正確な	accurate	adjective	core	15
admirable	admirable	立派な	admire	adjective	core	16
abolition	abolition	廃止	abolition	noun	core	17
accusation	accusation	告発	accuse	noun	core	18
admiration	admiration	賞賛	admire	noun	core	19
abortion	abortion	中絶	abortion	noun	core	20
accuse	accuse	告発する	accuse	verb	core	21
admire	admire	賞賛する	admire	verb	core	22
abortive	abortive	流産した	abortive	adjective	core	23
accused	accused	被告人	accused	noun	core	24
admirer	admirer	崇拝者	admire	noun	core	25
abound	abound	豊富な	abound	adjective	core	26
accustom	accustom	慣れる	accustom	verb	core	27
admission	admission	入学	admission	noun	core	28
abrupt	abrupt	突然	abrupt	noun	core	29
ache	ache	痛い	ache	noun	core	30
admit	admit	認める	admit	verb	core	31
abruptly	abruptly	突然	abrupt	adverb	core	32
achieve	achieve	達成する	achieve	verb	core	33
adolescence	adolescence	思春期	adolescence	noun	core	34
absolute	absolute	絶対的な	absolute	adjective	core	35
achievement	achievement	功績	achieve	noun	core	36
adolescent	adolescent	思春期の	adolescent	adjective	core	37
absolutely	absolutely	絶対に	absolute	adverb	core	38
acid	acid	酸	acid	noun	core	39
adopt	adopt	採用する	adopt	verb	core	40
absorb	absorb	吸収する	absorb	verb	core	41
acidity	acidity	酸味	acid	noun	core	42
adoption	adoption	養子縁組	adopt	noun	core	43
absorption	absorption	吸収	absorption	noun	core	44
acknowledge	acknowledge	認める	acknowledge	verb	core	45
advance	advance	前進	advance	noun	core	46
abstract	abstract	抽象的な	abstract	adjective	core	47
acknowledgment	acknowledgment	承認	acknowledgment	noun	core	48
advanced	advanced	高度な	advanced	adjective	core	49
abstraction	abstraction	抽象化	abstract	noun	core	50
advantage	advantage	利点	advantage	noun	core	51
absurd	absurd	不条理な	absurd	adjective	core	52
acquaint	acquaint	知り合い	acquaint	verb	core	53
advantageous	advantageous	有利な	advantage	adjective	core	54
absurdity	absurdity	不条理	absurd	noun	core	55
acquaintance	acquaintance	知人	acquaint	noun	core	56
advent	advent	降臨	advent	adjective	core	57
abundance	abundance	豊かさ	abundance	noun	core	58
acquire	acquire	取得する	acquire	verb	core	59
advertise	advertise	宣伝する	advertise	verb	core	60
abundant	abundant	豊富な	abundant	adjective	core	61
acquired	acquired	取得した	acquired	verb	core	62
advertisement	advertisement	広告	advertise	noun	core	63
abuse	abuse	虐待	abuse	noun	core	64
acquisition	acquisition	買収	acquisition	noun	core	65
advertising	advertising	広告	advertising	verb	core	66
academic	academic	学術的な	academic	adjective	core	67
act	act	行動する	act	verb	core	68
advocacy	advocacy	擁護	advocacy	noun	core	69
academy	academy	アカデミー	academy	noun	core	70
action	action	アクション	act	noun	core	71
advocate	advocate	擁護者	advocate	noun	core	72
accelerate	accelerate	加速する	accelerate	verb	core	73
activate	activate	アクティブ化する	activate	verb	core	74
aesthetic	aesthetic	美的	aesthetic	adjective	core	75
acceleration	acceleration	加速度	accelerate	noun	core	76
